author,rating,title,content
,"4,0",,"Cette ultime saison de ""Squid Game"" s'inscrit dans la continuité directe de la précédente avec trois derniers jeux encore plus mortels. Dans cette dernière ligne droite, la tension est forcément constante avec six épisodes intenses, stressants, déchirants, et surtout toujours aussi addictifs. La série réussit encore à surprendre, même si certaines facilités scénaristiques ou incohérences peuvent gêner. On aurait aimé un peu plus de profondeur sur certains personnages, notamment du côté de l’antagoniste principal, un peu trop en retrait vu son rôle central cette saison. Mais malgré cela, ""Squid Game"" reste une série à la fois brutale et grandiose qui passionne toujours autant avec ses jeux, son visuel soigné, et son rythme qui ne faiblit jamais. Le final, bien qu'un peu rapide, offre une conclusion satisfaisante à la série et on espère que l’univers pourra s’étendre à travers d’autres formats ou projets à l’avenir.-17/20Critique sur Squid Game (saison 3)Vue du 29 juin au 03 juillet 2025 sur Netflix"
,"3,5",,"3,5/5 Bien. Franchement, ça part très très bien, les premiers épisodes de cette partie 3 sont les plus prenants de la série, les plus intéressants et on attend beaucoup du dénouement. On enchaîne les épisodes rapidement, on veut savoir et au final, entre moral et continuité des choses dans la fatalité, on finit guère mieux qu'avant... Pour le coup on attendrait une suite pour finir ces jeux là (si tant est que ce soit possible). Donc super au départ et déçu par la fin. Compte tenu de tout le background créé pour le scénario de cette suite, on s'attendait à ce qu'il soit vraiment utilisé et on termine sur une sensation de n'avoir qu'effleurer l'organisation globale des jeux. Arf, c'est dommage !"
,"2,0",,"Squid Game Saison 1 pépite Saison 2 extra….Que dire de la saison 3 un vrai désastre…..Les VIP américains sont caricaturaux, mal écrits, et cassent complètement l’ambiance intense et minimaliste qui faisait la force de la série. Leur présence n’a aucun intérêt réel et ne fait qu’alourdir le récit.Il y a beaucoup trop de dialogues inutiles et pas assez de jeux : on perd l’essence même de Squid Game. Le suspense et la tension, qui faisaient vibrer les deux premières saisons, ont été sacrifiés pour du bla-bla creux.Le personnage de Gi-hun (456) est totalement à côté de son arc de vendetta. Sa promesse de détruire l’organisation est oubliée au profit d’un développement mou, sans enjeu clair.La Garde 011 (No-eul), trop mise en avant, finit par tourner en rond, et on ne sait même pas où est sa fille, pourtant élément central de sa motivation. Résultat : frustration.Quant au choix de faire mourir le personnage transgenre, c’est une énorme déception. Elle avait une vraie présence, un parcours touchant, et méritait d’aller beaucoup plus loin. Sa mort est bâclée, presque gratuite.Et pour finir, l’idée d’américaniser la série avec une version “exportée” est une erreur stratégique. On perd l’identité coréenne, la critique sociale subtile, au profit d’un projet creux et formaté.En résumé : la saison 3 trahit l’esprit des deux premières. Il aurait mieux valu s’arrêter à la saison 2 plutôt que d’en faire une version affadie et confuse"
,"2,0",,"Un beau gâchis que cette 3eme saison !Et quel ennui ! Tout est trop long et étiré sans raison.Les différents personnages n'ont aucun charisme, et les jeux s'enchaînent sans aucune réelle surprise ni suspens quand a leur déroulement. L'issue est déjà connue avant même la fin.Les 2 sous intrigues ne sont là que pour rallonger la saison inutilement, et n'apportent rien au récit principal., et n'ont aucun impact.Le montage et la réalisation annihilent chaque retournement de situation.Une série qui aurait dû définitivement s'arrêter après la lère saison.Dommage."
,"1,5",,"Pour moi Squid Game 
spoiler: 
c'est la saison 1 et rien d'autre
. Cette troisième saison c'est celle de trop. Le jeu des acteurs(trices) 
spoiler: 
est creux
. Ils tremblent, s’agitent pour un rien. 
spoiler: 
Aucune scène
 avec des combats de défense avec des arts martiaux, pourtant réputées. Des scènes 
spoiler: 
inter(minables)
 où les acteurs feignent d'avoir peur. Je 
spoiler: 
retiens que
 le nom de cette série, le reste 
spoiler: 
j'oublie
!"
,"2,0",,"Suite directe de la saison 2, Squid Game S3 est la partie la moins intéressante de la série.Les jeux sont pas à la hauteur des précédents, et un élément vient tout spoiler et tout gâcher au milieu de la saison, 
spoiler: 
la naissance du bébé. On comprend directement où on veut nous amener et on sait que le scénario va préserver le bébé jusqu'à sa victoire. Le scénario sert bien le propos, jusqu'à faire prendre des décisions stupides aux protagonistes.
La partie avec le commando en bateau ne sert à rien.Et pourquoi faire 
spoiler: 
un bébé en CGI, le rendu est dégueulasse.
La fin tease un Squid Game aux USA, avec Kate Blanchett qui s'est perdue manifestement.
Une fin pas du tout à la hauteur de la première saison, qui aurait du rester unique."
,"2,5",,"Une dernière saison tiré par les cheveux ..Entre le bébé,  le dernier jeu tellement mauvais et qui est tellement prévisible à deviner ..Certains moments sont toute de même pas mal mais encore une fois la première saison aurait du être la dernière"
,"1,5",,Terriblement decu de cette saison soporifique.. Tout ca pour ca... Dommage car la saison 1 etait bonne.
,"5,0",,"Une des meilleures séries de tous le temps!Une histoire traitant incroyablement bien et profondément les thèmes sociétaux comme la violence, l'argent, le vote démocratique, le capitalisme, à travers ces jeux d'enfant où la mort attend chaque perdant.La réalisation est excellente, les acteurs jouent magnifiquement bien.Ces 3 saisons sont un pur chef d'oeuvre artistique!À voir absolument!"
,"5,0",,"Toujours aussi intense, violente et captivante, cette dernière saison, en fait la seconde partie de la saison 2, vous clouera devant votre télévision et ce  à chaques épisodes. Extrêmement bien réalisé et écrit,  avec des décors somptueux (en particulier le 1er jeu de cette saison), Squid Game aura marqué bien des esprits dans le monde entier et ces derniers épisodes finissent comme la 1ère saison avait commencé ! Avec brio ! Wooo."
,"5,0",,"Je pense que la plupart des gens sont incapables de comprendre cette série, allégorie du capitalisme etc Ils mettent 1 ou 0 tout simplement car ils ne comprennent rien et feraient sûrement des gens qui votaient pour rejouer si ils étaient dedans."
,"3,5",,"Clap de fin pour Squid Game : une dernière saison en demi-teinteLa série sud-coréenne Squid Game, phénomène mondial lors de sa première saison, tire sa révérence avec une troisième et ultime salve d’épisodes. Après une saison 2 qui avait laissé les fans sur leur faim, cette conclusion tente de redresser la barre.Si l’intrigue retrouve par moments le souffle haletant des débuts, quelques longueurs viennent freiner le rythme. Le final, quant à lui, reste trop prévisible pour créer un véritable choc.Mais la force de la série réside toujours dans ses personnages, oscillant entre haine, dégoût, pitié et empathie. Un miroir cru mais captivant de la nature humaine.En dépit de ses faiblesses, Squid Game clôt son aventure en rappelant que derrière le jeu, c’est toujours l’homme qui est mis à nu."
,"3,0",,"J'ai bien apprécié la saison 3 tant attendue qui clôture cette série marquante de façon plutôt correcte. Elle est, certes, moins prenante que la saison 1 qui restera, d'après moi, la meilleure de toute mais elle est, heureusement, un cran au-dessus de la saison 2. Ici, l'accent semble être particulièrement mis sur l'émotion. En effet, on assiste à quelques scènes tristes et déchirantes. Et par ailleurs, on découvre, non sans effroi, encore et toujours des personnages avides d'humanisme mais nous avons notre personnage principal qui nous rappelle qu'il existe encore des personnes humaines dans ce monde de dépravés. Il existe quelques incohérences, par moment, je pense que les téléspectateurs auraient préféré que les choses se déroulent autrement. Mis à part ces détails, les décors, l'histoire, la mise en scène...tout a, une fois de plus, été bien pensé."
,"3,5",,"Incroyablement DÉÇU De cette fin de série plus précisément de la fin qui est beaucoup trop facile et pas à la hauteur de Squid Game saison 1 . Des épisodes lent , des épreuve longue , des votes qui ralentissent le rythme déjà pas ouf. Et une dernière épreuve juste bâclé des joueur nul et LE joueur cacher . Pour conclure une saison inutile qui à mon avis vas faire redescendre la popularité de cette série qui avait une immense influence et énormément de potentiel. 
spoiler: 
Malgré le teaser de Squid game américain."
,"4,5",,"Après une première saison hors du commun (qui aurait pu se suffire à elle-même) et une saison deux en demi-teinte, cette partie finale m'a conquise ! Les marqueurs du premier volet sont de nouveaux au coeur de l'intrigue avec des dilemmes tous plus sordides les uns que les autres et des émotions fortes qui ne nous laissent pas souffler. Quelques incohérences 
spoiler: 
autour du bébé, comment peut-on accoucher en dix minutes ? Et d'un enfant qui ne pleure quasi jamais ou juste pour servir l'intensité dramatique ?)
, des choix scénaristiques pour rendre la fin plausible et acceptable. La fin, justement. Les critiques sont très variées, ce qui est compréhensible car aucune fin n'aurait de toute façon été parfaite.  Pour ma part, j'ai trouvé cet épilogue à la hauteur de la série. 
spoiler: 
De façon indirecte, le héros parvient à détruire les jeux de Corée et par son sacrifice pour sauver l'enfant, montre que l'humanité peut survivre à toutes ces horreurs. 
Bref, une excellente série dont je suivrai l'éventuel spin-off !"
,"3,0",,"Dernier opus dans la lignée des précédents, si il n apporte pas grand chose au mystère de l organisation criminelle il poursuit les sessions sadiques du jeu mortel avec toujours un certain talent. C est juste moins original et ça apporte un point final semble t il à la série."
,"4,0",,"Voici une série sud-coréenne qui sort vraiment du lot. Quoi qu'on en dise, elle a un côté addictif. Certes elle joue peut-être sur un voyeurisme un peu morbide, mais le résultat est là : ce fut un véritable carton !. Toutes les saison ne se valent pas: pour moi, la première saison est la plus captivante, tandis que la deuxième est la moins marquante des trois, pour ce qui est de la saison finale, elle se situe quelque part entre les deux autres. Vu la fin de la dernière saison, un remake américain semble très probable. 8/10"
,"2,0",,"Saison 1 je donne 4/5Saison 2 je donne 4/5Jusque là c'était une tuerie cette série.C'est tellement dommage de bousiller une œuvre comme ca avec une saison 3 pareille. Alalala j'ai les nerfs, tellement de choses illogique, trop de mauvais choix. Ils ont gâché la série."
,"3,5",,"Pour le lecteur pressé, en moins de 3 minutes :  Pour découvrir ma critique vidéo complète, copier/coller ""cinéma sans fard + SQUID GAME + SAISON 3"" sur YouTube ! Et s'abonner à cette chaîne Youtube où je publie régulièrement ces articles, pour n'en rater aucun !Et si le sang ne servait plus à survivre, mais à comprendre ?Dans Squid Game 3, signé Hwang Dong-Hyuk, le jeu est déjà terminé. Ou plutôt : il s’éternise, dans la tête d’un Gi-hun reconverti en revenant politique. Ce n’est plus une série. C’est une rechute.Le réel n’a plus de sol. Netflix devient l’arène globale. Et la Corée du Sud ? Un théâtre post-mortem de l’avidité occidentale.On attendait une escalade, on reçoit un enfoncement. Plus lent. Plus trouble. Moins spectaculaire, plus cancéreux. Comme si Squid Game avait avalé Mr. Robot, digéré Snowpiercer, puis vomi un Gi-hun spectral, rouge sang mais intérieur.Chaque épisode est un silence étiré jusqu’à la strangulation narrative.Il ne s’agit plus de jouer pour survivre. Mais de rejouer pour comprendre. La mise en abyme du trauma, le recyclage du désespoir. Hwang ne réinvente rien, mais radicalise tout. Les jeux sont connus, les règles aussi. Mais le regard, lui, s’est fissuré. Tout est plus psychologique, plus politique, plus étouffé. Moins jouissif. Volontairement.On pensait bingewatcher. On finit en apnée.Le synopsis disait tout : Gi-hun ne veut plus fuir. Il veut détruire. Mais qui ? Le maître du jeu ? Le système ? Lui-même ? Personne ne sort indemne de cette saison, pas même la narration. Parce qu’ici, le scénario est moins un escalier qu’un labyrinthe. On tourne en boucle, volontairement. On rejoue les épreuves, mais comme des fantômes.Pas de climax. Juste une répétition mortuaire du spectacle.La mise en scène est clinique. Froide. Mais éclatée. L’esthétique reste pastel, rouge, verte, mais le cadre est plus flottant. Les focales tremblent. On ressent moins l’adrénaline que la fièvre.La lumière ? Blafarde. Chirurgicale. Comme si chaque scène était disséquée au scalpel du regard du spectateur. On ne regarde plus. On est pris dans le formol de l'image.Les acteurs sont des survivants déconnectés. Lee Jung-jae, en Gi-hun, ne joue plus : il pourrit à l’écran. Littéralement. Son visage devient une carte mentale de la douleur. Les autres ? Des marionnettes, volontaires ou pas. Rien n’est laissé au hasard, même l’épuisement.Il n’y a plus de dynamique. Juste des frottements, des corps qui refusent le contact. Des regards fuyants, des gestes morts. La série respire la déconnexion.Côté son : les silences sont la musique. Les respirations étouffées, les bruits d’équipements, les haut-parleurs saturés : tout sonne faux. Et c’est voulu. Même la bande originale semble désaccordée. Plus de thème iconique. Juste une nappe de malaise.Alors, message ou mirage ? Cette saison est un doigt pointé vers l’Occident. Mais sans slogans. Juste un vide. Une machine qui tourne à vide. Une satire sans réplique. Pas besoin. Tout est là : dans les regards absents, les choix absurdes, la mort devenue procédure.C’est brillant, mais ça ne veut pas plaire.Note ? 16 sur 20. Parce que c’est du sabotage poétique. Une saison contre Netflix, diffusée sur Netflix. Le public cible ? Les insomniaques politiques. Les survivants culturels. Les ados lucides et les adultes lessivés.Squid Game 3, ce n’est plus un jeu. C’est une maladie chronique du capitalisme. Et elle est contagieuse."
,"4,0",,"J’ai trouvé la série Squid Game incroyable, vraiment. Partit de rien et réalisé avec pas grand chose, le réalisateur Coréen peut être fier de son travail. Les 3 saisons sont sensiblement équivalentes en termes d’écriture et de techniques, c’est maîtrisé et ça fait du bien."
,"4,0",,"Merci pour cette 3eme saison qui réussit à nous surprendre. On est dans une série du 21eme siècle, sans faux semblant et deus ex machina ridicules. En haleine tout le long, on bascule entre cynisme et humanisme, espoir et désespoir. Beau final"
,"4,0",,"Très bonne saison 3, bien accrocheuse. Ça reprend la ou ça c'est arrêté,  ce n'est pas répétitif, c'est bien."
,"0,5",,"Saison 3 médiocre alors la saison 1 était bien malgré des épisodes parfois lourds comme les dernièrs épisodes, la saison 2 à été en chute libre mais la 3 ?!? La saison 3 était prévisible mais en plus cela ne concluait même pas la série squid game. Ce que je m'attendais comme fin digne de ce nom c'est l'inspecteur qui arrête son frère alors peu importe qu'il l'amène en prison ou le tue sur le coups et qu'il lui demande des explications sur pourquoi il a fait, même à nous cela n'a pas été expliqué. A en croire la série il était contraint d'être organisateur aucun sens ça pue l'excuse mal fichue. Je m'attendais egalement que les vip soit arrêté, j'ai vue série ou anime déprimant qui se finissait mal comme japan skins 2020, Elfen lied ou the things mais là c'est simple c'est une conclusion sans conclusion. Les fils de p*** de vip s'en sort et pars tranquillou comme si de rien n'était. Si la série veut montrer que c'est pas toujours les gentils qui l'emporte je suis pas contre mais il faut que ce soit fait correctement comme par exemple que les finaliste prennent à revers les organisateurs de jeux et refont une embuscade comme pouir la saison 2 mais cette fois ils reussissent avec l'aide de numéros, de l'imspecteur et de ceux qui les accompagnaient pour tuer l'organisateur et les vip pour avoir une fin satisfaisante même si ça se finit avec lers fameuse fin ""ouverte"" avec d'autres jeux organisé ailleurs. Mais non aucune interaction entre eux des plots. On sait même pas à quoi ils ont servis dans la série. La série ne se conclut même pas il y a un après mais non la saison 3 est bien la dernière. Pour un battle royal, squid game n'atteint même pas la cheville de battlre royal de Alice in borderland que j'attends avec impatience."
,"4,0",,"Très bonne saison finale pour une série géniale. La fin est logique, je ne vois pas comment ils auraient pu finir autrement. C est un peu en dessous des deux autres saisons car on connaît bien la recette a force. N empêche que ça fonctionne toujours bien et que le tout est bouclé. Après pour la suite version américaine je pense que ça sera de trop. La saison 1 se suffisait déjà a elle même mais ça m a fait plaisir d avoir du rab !"
,"1,0",,"Alors, par où commencer ?Je m'attendais pas à une saison incroyable cette fois-ci, car la deuxième saison était ridicule 廊.Gi-hun est juste INSUPPORTABLE, dès la début de la deuxième saison d'ailleurs, il se prend trop pour un héros, qui pense pouvoir sauver le monde de la capitalisation etc.Hyun-Ju et la grande-mère qui pleurniche h24 passent leur temps à vouloir 
spoiler: 
protéger Jun-Hee
, je comprend pas, c'est quoi l'intérêt de défendre et risquer sa vie pour 
spoiler: 
une fille enceinte qu'elles connaissent pas ?
 Et on pense que c'est fini mais enfaite, 
spoiler: 
ça continue jusqu'au dernier épisode de la série !!!!
Et le vrai scandale arrive...
spoiler: 
la mère qui tue son fils
, non mais sérieusement ?Ce que je comprend pas c'est le fait que 
spoiler: 
le bébé a été annoncé "" joueur officiel"" dans le jeu, mais dans ce cas, c'est très prévisible que c'est le bébé qui va gagner et non quelqu'un d'autre !
En résumé : cette saison s'est concentré sur 
spoiler: 
""qui va sa sacrifier pour sauver un bébé qu'on connait pas ?""
Franchement c'est honteux, la saison est bâclée très rapidement, on nous impose des personnages ""drogués"" et ridicules et le jeu d'acteur n'est absolument pas réussi.Le seul moment que j'ai aimer c'est 
spoiler: 
la rencontre finale entre In-Ho et Gi-Hun, je m'attendais pas à ce que Gi-Hun rencontre enfin le chef des jeux.
 C'était fort !Si vous voulez noter la qualité de cette saison, revoyez la premiere saison d'abord, vous verrez qu'il y a une ÉNORME différence entre les deux et c'est hallucinant.Bref, 
spoiler: 
choisir la compassion envers un bébé plutôt que la victoire
 n'est pas logique dans le monde dans lequel on vit, c'est pas réaliste du tout et c'est dommage !"
,"1,0",,Une saison des plus énervante ! Avoir envie d'arrêter avant la fin ! Les personnages sont rendus tellement bêtes ! A croire que tous les personnages sont arriérés. Décevant et sans intérêt ! Une perte de temps
,"3,0",,"N'écoutez pas ceux qui vous diront que la saison est ""nulle"", les jeux sont toujours présent et la finalité est attendue et au rdv. Série à succès devant se ""magner"" de faire une suite pour continuer à être bankable par Netflix après la première saison. On notera les épisodes longuets sur la recherche de l'île pour au final pas grand chose et surtout la dichotomie du dernier jeu où personne ne réagirait comme ça pour la survie.. L'américanisation à son paroxysme jusqu'à la fin pour laisser entrevoir une reprise made in USA. On a envie de dire la série se finit quand même sans trop de longueurs et NON on ne veux pas de réadaptation américaine pour faire du gain ^^"
,"3,5",,"Cette troisième et apparemment dernière  saison conclut la saga dystopique sur une tonalité aussi sombre qu’émotionnellement complexe. Elle poursuit immédiatement après les événements de la saison 2, en suivant Seong Gi-hun (Lee Jung‑jae) dans sa mission tragique et déterminée de vengeance et de justice, plongée dans un cycle de jeux toujours plus cruels et symboliques  Squid Game Saison 3 offre une conclusion intense, visuellement riche et émotionnellement chargée, fidèle aux thèmes fondateurs de la série. Malgré des faiblesses narratives et des choix stylistiques discutables, elle réussit à boucler le parcours de Gi-hun avec gravité et fracas."
,"1,5",,"J'ai adoré la saison 1, vraiment apprécié la saison 2 (alors que beaucoup l'ont critiqué), et j'ai supporté le début de la saison 3. Mais... Que dire... Les incohérences dans le scénario et dans le comportement des personnages se sont succédé et ont atteint un niveau de ridicule absolu. Il y a tellement de mauvais choix qu'on voit très bien à quel point ça n'a aucun sens. Au final, on obtient un final ridicule, dénué de sens, sans morale et surtout sans réel intérêt. Je classe cette fin avec celle de la série Lost dans les fautes professionnelles, et c'est bien dommage car la série méritait mieux..."
,"4,0",,"Merci pour cette fin. Je ne suis absolument pas deçu comme certain. La fin est logique, le dilemme est fort et puissant. La symbolique également. Légèrement déçu quand même que certaine question reste sans réponse. J’avais mis 4,5 à la fin de la saison 1 , je lui mettrais donc la note final de 4 pour ce petit détail. En tous cas cette série mérite largement sont succès, c’est sombre , violent , on pousse la folie et l’avarice des personnages à sont paroxysmes entrainant des comportements inhumains. Ou on ne cesse de ce dire mais qu’est-ce que ferais si j’étais à leur place ?!?!? Serait-je un joueur sanguinaire qui ferais tout pour gagner l’argent grassement promis ou l’inverse. Bref ça pousse à ce poser certaines question sur la nature humaine et ses limites. Et si on fait le parrallèle entre cette séries et la vie , où l’on utilise des humain en les poussant dans leur retranchement pour divertir les plus riche c’est un peu ce qui ce passe avec les grandes entreprise qui dirige le monde. Elle cherche toujours à s’enrichir de plus en plus en bafouant certaine condition humaine, en poussant les ouvriers à la limite de la santé mentale ou physique tous ça pour enrichir le portefeuille de gens qui ont déjà les poches pleine à craquer. Et leur permettre de ce divertir comme bon leur semble grâce aux larmes et à la sueur du petit peuple qui eux n’auront jamais un compte en banque qui represente le PIB d’un pays à lui seul. Conclusion une série parfaite pour celle et ceux qui arrive à être aspirés et prit dans le jeux comme si on y étaient."
,"2,5",,"J'ai bien envie de dire que sur ces 3 saisons, il y en a 2 qui sont en trop. Et au vu de la scène finale de la saison 3, on va encore en bouffer pendant longtemps du Squid Game. Du reboot, des prequels, des sequels... Bref, c'est pas fini. Avec un bon concept à l'origine (qui évidemment s'essouffle très vite et ne peut pas tenir 3 saisons), on arrive à une série dont l'intérêt premier disparaît au fur et à mesure. Bien que la fin dans son ensemble soit plutôt bonne, ça reste une franche déception. Comme 99% des séries qui veulent tirer sur la corde. Il aurait fallu s'arrêter à la saison 1. Tant pis.La série dénonçait le surcapitalisme à l'origine. Un bien beau message qui n'a plus aucun sens désormais."
,"0,5",,"Après une saison 1 captivante par la découverte du jeu et une saison 2 qui tenait encore debout grâce au lore du frère et du maître du jeu, cette saison 3 est une véritable catastrophe.Netflix a clairement voulu traire la vache à lait, quitte à tuer l’essence même de la série.Le schéma est simple (et lassant) : 
spoiler: 
attachez-vous à un personnage… il mourra dans l’épisode suivant.
L’émotion est forcée, appuyée, presque artificielle. Oui, on est ému… mais pas parce que c’est bien écrit. Parce qu’on nous pousse à l’être, et c’est gonflant.Il y avait pourtant matière à approfondir : la création du jeu, les implications des maîtres du jeu, leur succession… Mais non. On survole les concepts 
spoiler: 
sûrement pour nous pousser à regarder des préquels déjà dans les cartons
.Quel plaisir, vraiment, de finir la saison 2 sur un cliffhanger... 
spoiler: 
pour enchaîner avec d'autres cliffhangers en guise de ""fin de série""/saison 3.
 Super.En bref : une saison racoleuse, qui trahit l’univers de départ. Et le pire ? 
spoiler: 
C’est que personne n’en redemande… mais ils vont sûrement continuer quand même.
Une véritable dégringolade. 
spoiler: 
J’espère sincèrement que le projet s’arrêtera là."
,"2,0",,"Bon ba , un peu mieux que la saison 2 , mais c'est tout raté, bâclé Je suis super déçu Pour pas spoiler j'en dirais pas plus mais c'est tout raté, tout bâclé"
,"3,0",,"Saison 3 pas mal avec des rebondissements, des personnages intéressants mais surtout un message très bien amené. Malgré tout, il y a BEAUCOUP TROP de personnages on n'arrive pas bien à s'attacher à eux c'est très dommage, surtout qu'il y avait pas mal de personnages au potentiel gâché. Le héros n'évolue pas malheureusement mais reste fidèle quand même à ses convictions. Final sympa avec un bonne épilogue ça aurait pu être pire mais ça aurait pu être bien mieux. Ça reste un copier coller de la saison 1 dans beaucoup de choses. J'ai quand même apprécié cette série et j'avoue que j'ai ressenti des petits frissons à la fin. L'idée de faire la même mais chez les states est débile ça part trop loin."
,"1,0",,"Décevant à mort. J'ai attendu avec impatience la fin uniquement pour pouvoir passer à autre chose. Les personnages tout juste passables en saison 2 sont absents et remplacés par des personnages mal écrits, clichés et lourds avec une faux aspect comique. L'émotion ne passe absolument pas, la musique tente de nous sensibiliser mais n'est en rien subtile. Le scénario est plus que prévisible et là où l'histoire est censée être un petit peu subtile et étonnante, la mise en scène nous prend pour des idiots incapables de comprendre ce qu'il se passe, via des gros plan, ou alors les personnages qui nous explique ce qui est entrain de se jouer.Absolument ridicule, niais et scenaristiquement 0.J'en ai fini avec les séries Netflix !"
